192.168.0.12 - - [26/May/2024:03:44:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:44:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:44:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:44:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:44:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:44:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:44:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:44:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:44:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:44:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:44:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:44:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:45:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:45:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:45:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:45:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:45:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:45:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:45:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:45:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:45:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:45:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:45:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:45:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:45:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:45:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:45:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:45:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:45:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:45:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:46:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:46:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:46:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:46:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:46:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:46:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:46:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:46:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:46:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:46:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:46:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:46:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:46:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:46:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:46:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:48:08 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:48:08 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:48:08 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:48:23 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:48:23 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:48:23 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:49:44 +1000] "GET / HTTP/1.1" 304 -
192.168.0.12 - - [26/May/2024:03:49:45 +1000] "GET /status.txt HTTP/1.1" 304 -
192.168.0.12 - - [26/May/2024:03:49:45 +1000] "GET /favicon.ico HTTP/1.1" 404 196
192.168.0.12 - - [26/May/2024:03:50:16 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:50:16 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:50:16 +1000] "GET /status.txt HTTP/1.1" 200 10
